batter,phase,runs,balls,dismissals,strike_rate,avg
AT Rayudu,Powerplay,777,732,23,106.15,33.78
Abdul Samad,Death,516,307,31,168.08,16.65
Abdul Samad,Middle,297,246,13,120.73,22.85
Abhishek Sharma,Death,176,110,11,160.0,16.0
Abhishek Sharma,Middle,644,382,29,168.59,22.21
Abhishek Sharma,Powerplay,1125,682,32,164.96,35.16
Abishek Porel,Middle,287,200,12,143.5,23.92
Abishek Porel,Powerplay,316,208,12,151.92,26.33
Ashutosh Sharma,Death,272,146,11,186.3,24.73
Ashutosh Sharma,Middle,140,104,5,134.62,28.0
Atharva Taide,Powerplay,157,103,5,152.43,31.4
Azhar Mahmood,Middle,243,188,7,129.26,34.71
B Chipli,Middle,125,119,9,105.04,13.89
B Kumar,Death,295,310,36,95.16,8.19
B Sai Sudharsan,Death,232,114,10,203.51,23.2
B Sai Sudharsan,Middle,927,641,20,144.62,46.35
B Sai Sudharsan,Powerplay,747,550,9,135.82,83.0
BA Stokes,Death,207,128,14,161.72,14.79
BA Stokes,Middle,488,389,17,125.45,28.71
BA Stokes,Powerplay,240,181,10,132.6,24.0
BB McCullum,Middle,1144,869,41,131.65,27.9
BB McCullum,Powerplay,1557,1224,58,127.21,26.84
BCJ Cutting,Death,216,121,9,178.51,24.0
BJ Hodge,Death,606,373,24,162.47,25.25
BJ Hodge,Middle,646,583,15,110.81,43.07
BJ Hodge,Powerplay,148,162,7,91.36,21.14
BJ Rohrer,Middle,114,105,5,108.57,22.8
Bipul Sharma,Death,172,109,5,157.8,34.4
C Green,Death,229,115,5,199.13,45.8
C Green,Middle,331,259,13,127.8,25.46
C Green,Powerplay,203,125,5,162.4,40.6
C de Grandhomme,Death,160,113,7,141.59,22.86
C de Grandhomme,Middle,142,110,7,129.09,20.29
CA Ingram,Middle,128,120,6,106.67,21.33
CA Lynn,Middle,514,371,17,138.54,30.24
CA Lynn,Powerplay,779,540,17,144.26,45.82
CA Pujara,Middle,128,121,3,105.79,42.67
CA Pujara,Powerplay,215,229,10,93.89,21.5
CH Gayle,Death,581,284,16,204.58,36.31
